model_name,accuracy,precision,recall,f1,roc_auc,train_time_sec,inference_time_ms
XGBoost+Optuna,0.8549889929862284,0.9993574996372981,0.7397441011322144,0.8501732330667984,0.8866166328582314,3.0675275325775146,42.740583419799805
CatBoost (запасная),0.8549804604174133,0.9981803895620529,0.7406032340216624,0.8503135348411188,0.8815705595293591,2.5848777294158936,32.147884368896484
LightGBM (запасная),0.8549377975733374,0.9983244730364272,0.7404191341167807,0.8502444395507598,0.888052100511394,1.000457525253296,72.07584381103516
AutoGluon,0.8556715984914418,0.999648040413242,0.7407566506090638,0.8509468378523656,0.8953154605749997,0.0,0.0
RandomForest (запасная),0.8471304971074591,0.9460908301559138,0.7689546193734467,0.8483750846310087,0.8975317353666553,23.803904056549072,785.8180999755859
