model_name,f1,roc_auc,accuracy,rmse,mae,inference_time_ms,energy_wh,carbon_g
XGBoost+Optuna,0.8501732330667984,0.8866166328582314,0.8549889929862284,0.3808031079360718,0.14501100701377156,104.87660000217147,0.001893605277816985,0.0008218246905725714
CatBoost,0.8503135348411188,0.8815705595293591,0.8549804604174133,0.38081431115779607,0.14501953958258673,43.67810001713224,0.0007886323614204432,0.00034226644485647233
LightGBM,0.8502444395507598,0.888052100511394,0.8549377975733374,0.3808703223233107,0.14506220242666257,176.35269998572767,0.0031841459719645273,0.0013819193518326048
RandomForest,0.8483750846310087,0.8975317353666553,0.8471304971074591,0.39098529754012595,0.15286950289254084,1439.331699977629,0.0259879334718183,0.011278763126769143
AutoGluon,0.8509468378523656,0.8953154605749997,0.8556715984914418,0.3799057797777735,0.14432840150855816,2830.4215000243858,0.05110483263932919,0.02217949736546887
